case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd,naics_code_description,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt,flsa_repeat_violator,flsa_bw_atp_amt,flsa_ee_atp_cnt,flsa_mw_bw_atp_amt,flsa_ot_bw_atp_amt,flsa_15a3_bw_atp_amt,flsa_cmp_assd_amt,sca_violtn_cnt,sca_bw_atp_amt,sca_ee_atp_cnt,mspa_violtn_cnt,mspa_bw_atp_amt,mspa_ee_atp_cnt,mspa_cmp_assd_amt,h1b_violtn_cnt,h1b_bw_atp_amt,h1b_ee_atp_cnt,h1b_cmp_assd_amt,fmla_violtn_cnt,fmla_bw_atp_amt,fmla_ee_atp_cnt,fmla_cmp_assd_amt,flsa_cl_violtn_cnt,flsa_cl_minor_cnt,flsa_cl_cmp_assd_amt,dbra_cl_violtn_cnt,dbra_bw_atp_amt,dbra_ee_atp_cnt,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,flsa_smw14_violtn_cnt,flsa_smw14_bw_amt,flsa_smw14_ee_atp_cnt,cwhssa_violtn_cnt,cwhssa_bw_amt,cwhssa_ee_cnt,osha_violtn_cnt,osha_bw_atp_amt,osha_ee_atp_cnt,osha_cmp_assd_amt,eppa_violtn_cnt,eppa_bw_atp_amt,eppa_ee_cnt,eppa_cmp_assd_amt,h1a_violtn_cnt,h1a_bw_atp_amt,h1a_ee_atp_cnt,h1a_cmp_assd_amt,crew_violtn_cnt,crew_bw_atp_amt,crew_ee_atp_cnt,crew_cmp_assd_amt,ccpa_violtn_cnt,ccpa_bw_atp_amt,ccpa_ee_atp_cnt,flsa_smwpw_violtn_cnt,flsa_smwpw_bw_atp_amt,flsa_smwpw_ee_atp_cnt,flsa_hmwkr_violtn_cnt,flsa_hmwkr_bw_atp_amt,flsa_hmwkr_ee_atp_cnt,flsa_hmwkr_cmp_assd_amt,ca_violtn_cnt,ca_bw_atp_amt,ca_ee_atp_cnt,pca_violtn_cnt,pca_bw_atp_amt,pca_ee_atp_cnt,flsa_smwap_violtn_cnt,flsa_smwap_bw_atp_amt,flsa_smwap_ee_atp_cnt,flsa_smwft_violtn_cnt,flsa_smwft_bw_atp_amt,flsa_smwft_ee_atp_cnt,flsa_smwl_violtn_cnt,flsa_smwl_bw_atp_amt,flsa_smwl_ee_atp_cnt,flsa_smwmg_violtn_cnt,flsa_smwmg_bw_atp_amt,flsa_smwmg_ee_atp_cnt,flsa_smwsl_violtn_cnt,flsa_smwsl_bw_atp_amt,flsa_smwsl_ee_atp_cnt,eev_violtn_cnt,h2b_violtn_cnt,h2b_bw_atp_amt,h2b_ee_atp_cnt,sraw_violtn_cnt,sraw_bw_atp_amt,sraw_ee_atp_cnt,load_dt,address,lat,lng
1882128,North Hills Family Dental,Dental Professionals of Pennsylvania P.C.,9401 Mcknight Road,Pittsburgh,PA,15237,621210,Offices of Dentists,1,NA,0,0,0,2019-03-29 00:00:00,2019-07-19 00:00:00,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:39,"9401 Mcknight Road, Pittsburgh, PA, 15237",40.57674360000001,-80.02682469999999
1878623,"Lone Star Citrus dba. Colunga, Maria FLC",Lone Star Citrus,9625 North Moorefield Rd,Mission,TX,78574,115115,Farm Labor Contractors and Crew Leaders,1,NA,0,0,0,2019-02-01 00:00:00,2019-03-25 00:00:00,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-26 10:03:59,"9625 North Moorefield Rd, Mission, TX, 78574",26.33902,-98.3374644
1882351,Kid's Castle Learning Center,"Pitach Delet Day Care Centers X, LLC.",10812 Coldwater Road Suite 600,Fort Wayne,IN,46845,624410,Child Day Care Services,2,NA,1,210.31,1,2019-01-11 00:00:00,2019-06-12 00:00:00,2,N/A,210.31,1,0,210.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:39,"10812 Coldwater Road Suite 600, Fort Wayne, IN, 46845",41.1820961,-85.131689
1896685,Blackjewel LLC - Admin Office,Blackjewl LLC,1051 Main Street,Milton,WV,25541,212112,Bituminous Coal Underground Mining,43,NA,36,189518.5,36,2019-06-08 00:00:00,2019-07-06 00:00:00,43,N/A,189518.5,36,169596.75,19921.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-17 11:54:16,"1051 Main Street, Milton, WV, 25541",38.4331642,-82.1456335
1896688,Georgia Big Bozys Smokehouse,GA Big Bozys Smokehouse Corp,5518 Gall Boulevard,Zephyrhills,FL,33542,722110,Full-Service Restaurants,4,NA,1,0,0,2019-05-27 00:00:00,2019-11-16 00:00:00,4,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-17 11:54:16,"5518 Gall Boulevard, Zephyrhills, FL, 33542",28.2381117,-82.1834719
1877490,Nice Clothing,"Nice Clothing, Inc.",4107 S. Broadway,Los Angeles,CA,90037,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors",23,NA,19,13160.34,19,2019-01-29 00:00:00,2019-03-24 00:00:00,23,N/A,13160.34,19,531.91,12628.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:37,"4107 S. Broadway, Los Angeles, CA, 90037",34.0089225,-118.2786509
1887385,Tokyo Japanese Steak House,"L and L Origin, Inc.",511 North Range Line Road,Joplin,MO,64804,722110,Full-Service Restaurants,12,NA,10,1902.44,9,2019-02-01 00:00:00,2019-08-31 00:00:00,10,N/A,1902.44,9,0,1902.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-14 00:19:52,"511 North Range Line Road, Joplin, MO, 64804",37.095419,-94.4763224
1878213,Ellwood City Medical Center,"Ellwood City Medical Center, LLC",724 Pershing Street,Ellwood City,PA,16117,09660,Local Hospitals,162,NA,150,83127.23,150,2019-03-02 00:00:00,2019-03-09 00:00:00,162,N/A,83127.23,150,69934.22,13193.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-26 10:03:59,"724 Pershing Street, Ellwood City, PA, 16117",40.8697091,-80.2754855
1879012,Hacienda Del Patron,"San Francisco Group, LLC",4401 W. Expressway 83,McAllen,TX,78501,722110,Full-Service Restaurants,1,NA,0,0,0,2019-03-24 00:00:00,2019-05-10 00:00:00,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:38,"4401 W. Expressway 83, McAllen, TX, 78501",26.195144,-98.2723681
1879018,Bridgepoint Condominiums,"Bridgepoint Condominiums, Inc.",334 Padre Blvd,South Padre Island,TX,78597,721199,All Other Traveler Accommodation,2,NA,0,0,0,2019-01-21 00:00:00,2019-06-11 00:00:00,2,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:38,"334 Padre Blvd, South Padre Island, TX, 78597",26.0851889,-97.16105519999999
