District_Office,Lat,Lon,Office
Des Moines IA District Office,41.97684242,-91.66702526,Cedar Rapids FO
Chicago IL District Office,41.87906139,-87.6295,Chicago DO and Regional Office
St. Louis MO District Office,38.318,-88.89781,Mt. Vernon FO
St. Louis MO District Office,39.76181,-89.70903,Springfield AO
St. Louis MO District Office,40.628,-89.4554,Peoria FO
Indianapolis IN District Office,40.41745,-86.89432,Lafayette FO
Indianapolis IN District Office,37.97421,-87.56863,Evansville FO
Indianapolis IN District Office,39.76875,-86.1562,Indianapolis DO
Indianapolis IN District Office,41.71043699,-86.29432678,South Bend AO
Kansas City KS District Office,37.6918,-97.3369,Wichita AO
Kansas City KS District Office,39.11737,-94.61826,Kansas City DO
Grand Rapids MI District Office,42.7320862,-84.5562439,Lansing FO
Detroit MI District Office,42.33,-83.0489,Detroit DO
Detroit MI District Office,42.60361,-83.16905,Troy FO
Grand Rapids MI District Office,42.28689189,-85.5828,Kalamazoo FO
Grand Rapids MI District Office,44.75404,-85.5928,Traverse City FO
Grand Rapids MI District Office,42.97687,-85.67242,Grand Rapids DO
Minneapolis MN District Office,44.97916894,-93.26638872,Minneapolis DO
Minneapolis MN District Office,46.7827072,-92.10582,Duluth FO
St. Louis MO District Office,38.62431,-90.19981,St. Louis DO
Des Moines IA District Office,41.25819,-95.93591,Omaha AO
Des Moines IA District Office,40.8138,-96.69961,Lincoln FO
Columbus OH District Office,41.6515,-83.53495,Toledo FO
Columbus OH District Office,41.50488,-81.69097,Cleveland AO
Columbus OH District Office,39.76149,-84.19822,Dayton FO
Columbus OH District Office,39.1021,-84.5099,Cincinnati AO
Columbus OH District Office,39.9665221,-83.00126321,Columbus DO
Columbus OH District Office,41.08478,-81.51701,Akron FO
Columbus OH District Office,40.76317692,-82.51376538,Mansfield FO
Minneapolis MN District Office,43.0677,-89.39956,Madison FO
Minneapolis MN District Office,43.03882,-87.91476,Milwaukee AO
Dallas TX District Office,32.8231,-96.8714,Home Office
Austin TX District Office,30.308,-97.8935,Home Office
New Orleans LA District Office,30.0219,-90.0226,Home Office
San Antonio TX District Office,29.4817,-98.6545,Home Office
Dallas TX District Office,33.4284,-94.0431,Texarkana FO
Little Rock AR District Office,35.83804,-90.70503,Jonesboro FO
Little Rock AR District Office,34.22163,-92.00321,Pine Bluff FO
Little Rock AR District Office,36.08878895,-93.7353,Fayetteville FO
Little Rock AR District Office,35.38631,-94.42629,Fort Smith FO
Little Rock AR District Office,34.73935,-92.39468,Little Rock DO
Denver CO District Office,38.94526,-104.8066,Colorado Springs FO
Denver CO District Office,39.7474,-104.9874,Denver DO
Denver CO District Office,40.1643,-105.1213,Grand Junction FO
New Orleans LA District Office,32.5159,-93.7494,Shreveport FO
New Orleans LA District Office,32.5017,-92.11726,Monroe FO
New Orleans LA District Office,29.94753,-90.07006,New Orleans DO
New Orleans LA District Office,30.02417838,-90.23905676,Kenner FO
New Orleans LA District Office,30.39977505,-91.1066886,Baton Rouge FO
New Orleans LA District Office,30.16604907,-92.05992143,Lafayette FO
New Orleans LA District Office,31.31017,-92.44595,Alexandria FO
Salt Lake City UT District Office,45.78387,-108.5096,Billings FO
Salt Lake City UT District Office,46.5966,-112.0336,Helena FO
Denver CO District Office,46.8088,-100.7887939,Bismarck FO
Albuquerque NM District Office,35.08366,-106.6532,Albuquerque DO
Oklahoma City District Office,35.47097,-97.51656,Oklahoma City DO
Oklahoma City District Office,34.60386,-98.39513,Lawton FO
Oklahoma City District Office,36.15366566,-95.99285644,Tulsa AO
Denver CO District Office,43.50023181,-96.7309,Sioux Falls FO
Denver CO District Office,44.0354,-103.2260296,Rapid City FO
Albuquerque NM District Office,35.21041,-101.8353,Amarillo FO
Houston TX District Office,29.68695,-95.52915,Houston DO
Dallas TX District Office,32.3219,-95.3022,Tyler FO
McAllen District Office,27.79571,-97.39739,Corpus Christi AO
Dallas TX District Office,32.76351,-97.08502,Dallas DO
McAllen District Office,26.1919,-97.69544286,Harlingen FO
Dallas TX District Office,32.77641,-96.80223,Dallas RO
Dallas TX District Office,32.53758204,-94.76494873,Longview FO
McAllen District Office,26.20837381,-98.2101849,McAllen DO
McAllen District Office,25.9514,-97.48981,Brownsville FO
Austin TX District Office,30.26925,-97.73952,Austin DO
Dallas TX District Office,33.90926,-98.49168,Wichita Falls FO
McAllen District Office,28.79725,-97.0068,Victoria FO
